match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home
198935,2025-06-04 10:25:22.058171,2384,2605,62,71,0,2,-9,-2,16,20,Set 1: 22-25 | Set 2: 24-26 | Set 3: 16-20,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:26:29.991429,2384,2605,63,73,0,2,-10,-2,17,22,Set 1: 22-25 | Set 2: 24-26 | Set 3: 17-22,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:27:06.461136,2384,2605,63,74,0,2,-11,-2,17,23,Set 1: 22-25 | Set 2: 24-26 | Set 3: 17-23,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:27:27.932092,2384,2605,64,74,0,2,-10,-2,18,23,Set 1: 22-25 | Set 2: 24-26 | Set 3: 18-23,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:28:46.764774,2384,2605,66,74,0,2,-8,-2,20,23,Set 1: 22-25 | Set 2: 24-26 | Set 3: 20-23,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:30:26.106100,2384,2605,67,74,0,2,-7,-2,21,23,Set 1: 22-25 | Set 2: 24-26 | Set 3: 21-23,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:31:19.030210,2384,2605,67,75,0,2,-8,-2,21,24,Set 1: 22-25 | Set 2: 24-26 | Set 3: 21-24,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:31:22.030210,2384,2605,68,76,0,3,-8,-3,22,25,Set 1: 22-25 | Set 2: 24-26 | Set 3: 22-25,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198944,2025-06-04 14:21:09.890640,2322,45540,44,35,1,0,9,1,19,17,Set 1: 25-18 | Set 2: 19-17,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:22:23.020223,2322,45540,45,35,1,0,10,1,20,17,Set 1: 25-18 | Set 2: 20-17,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:23:36.707017,2322,45540,44,36,1,0,8,1,19,18,Set 1: 25-18 | Set 2: 19-18,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:24:08.194478,2322,45540,45,36,1,0,9,1,20,18,Set 1: 25-18 | Set 2: 20-18,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:24:34.041421,2322,45540,45,37,1,0,8,1,20,19,Set 1: 25-18 | Set 2: 20-19,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:25:37.007296,2322,45540,45,38,1,0,7,1,20,20,Set 1: 25-18 | Set 2: 20-20,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:26:02.774594,2322,45540,46,38,1,0,8,1,21,20,Set 1: 25-18 | Set 2: 21-20,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:26:55.744269,2322,45540,46,39,1,0,7,1,21,21,Set 1: 25-18 | Set 2: 21-21,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:28:14.307718,2322,45540,47,39,1,0,8,1,22,21,Set 1: 25-18 | Set 2: 22-21,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:28:45.832291,2322,45540,48,39,1,0,9,1,23,21,Set 1: 25-18 | Set 2: 23-21,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:30:04.758245,2322,45540,48,41,1,0,7,1,23,23,Set 1: 25-18 | Set 2: 23-23,150m 0s,2nd set,1.0,0.8,0.9
